LAT,LON,X==EW,Y==NS,Z,SLIP
-30.7751,-71.1296,47.7605,91.5178,43.325,0.2359
-30.6677,-71.1164,49.0862,103.4537,43.325,0.0775
-30.5603,-71.1031,50.4195,115.3895,43.325,0.1011
-30.4529,-71.0899,51.7412,127.3252,43.325,0.0664
-30.3455,-71.0766,53.0848,139.2607,43.325,0.0715
-30.2381,-71.0634,54.4118,151.1961,43.325,0.086
-30.1307,-71.0501,55.7608,163.1312,43.325,0.0938
-30.0233,-71.0369,57.0933,175.0663,43.325,0.0913
-29.9159,-71.0236,58.4428,187.0011,43.325,0.0425
-32.5014,-71.2542,35.1221,-100.3818,46.19,0.0414
-32.394,-71.241,36.4124,-88.4444,46.19,1.4749
-32.2866,-71.2277,37.7056,-76.5072,46.19,1.3491
-32.1792,-71.2145,39.0017,-64.5701,46.19,1.257
-32.0718,-71.2012,40.3053,-52.6331,46.19,0.8684
-31.9644,-71.188,41.6023,-40.6963,46.19,1.2464
-31.857,-71.1747,42.9116,-28.7597,46.19,1.5093
-31.7496,-71.1615,44.2095,-16.8232,46.19,1.9106
-31.6422,-71.1482,45.5291,-4.8869,46.19,2.2282
-31.5348,-71.135,46.8327,7.0493,46.19,1.735
-31.4274,-71.1217,48.1579,18.9853,46.19,1.8285
-31.32,-71.1085,49.4717,30.9212,46.19,1.3294
-31.2126,-71.0952,50.7978,42.8569,46.19,1.2163
-31.1052,-71.082,52.1171,54.7925,46.19,0.4436
-30.9978,-71.0687,53.444,66.7279,46.19,0.5121
-30.8904,-71.0555,54.7736,78.6631,46.19,0.9761
-30.783,-71.0422,56.1059,90.5982,46.19,1.4887
-30.6756,-71.029,57.441,102.5332,46.19,0.2567
-30.5682,-71.0157,58.7835,114.4679,46.19,0.0198
-30.4608,-71.0024,60.124,126.4026,46.19,0.0349
-30.3534,-70.9892,61.4672,138.337,46.19,0.0696
-30.246,-70.9759,62.8131,150.2714,46.19,0.0238
-30.1386,-70.9627,64.1617,162.2055,46.19,0.0302
-30.0312,-70.9494,65.5129,174.1396,46.19,0.0014
-29.9238,-70.9362,66.862,186.0734,46.19,0.054
-32.5092,-71.1668,43.315,-101.2807,49.055,0.3927
-32.4018,-71.1536,44.6149,-89.3443,49.055,0.8182
-32.2944,-71.1403,45.9177,-77.4081,49.055,0.9255
-32.187,-71.1271,47.2233,-65.472,49.055,1.0507
-32.0796,-71.1138,48.5317,-53.5361,49.055,1.73
-31.9722,-71.1006,49.843,-41.6003,49.055,1.9743
-31.8648,-71.0873,51.1617,-29.6647,49.055,1.4319
-31.7574,-71.0741,52.4691,-17.7292,49.055,1.7471
-31.65,-71.0608,53.7982,-5.7939,49.055,0.7086
-31.5426,-71.0475,55.1207,6.1413,49.055,0.4855
-31.4352,-71.0343,56.4458,18.0763,49.055,0.3508
-31.3278,-71.021,57.7786,30.0111,49.055,0.1005
-31.2204,-71.0078,59.1045,41.9458,49.055,0.7694
-31.113,-70.9945,60.4427,53.8804,49.055,0.0672
-31.0056,-70.9813,61.7694,65.8148,49.055,0.1812
-30.8982,-70.968,63.1179,77.749,49.055,0.8209
-30.7908,-70.9548,64.45,89.6831,49.055,0.8076
-30.6834,-70.9415,65.8039,101.617,49.055,0.16
-30.576,-70.9283,67.1461,113.5508,49.055,0.1301
-30.4686,-70.915,68.4959,125.4844,49.055,0.0347
-30.3612,-70.9018,69.8483,137.4179,49.055,0.0061
-30.2538,-70.8885,71.2034,149.3512,49.055,0.0388
-30.1464,-70.8753,72.5612,161.2844,49.055,0.0399
-30.039,-70.862,73.9216,173.2174,49.055,0.0624
-29.9316,-70.8488,75.2799,185.1503,49.055,0.4672
-32.517,-71.0794,51.5064,-102.1862,51.92,0.0164
-32.4096,-71.0661,52.8253,-90.2509,51.92,0.0518
-32.3022,-71.0529,54.1283,-78.3156,51.92,0.0249
-32.1948,-71.0396,55.4528,-66.3806,51.92,0.0548
-32.0874,-71.0264,56.7614,-54.4456,51.92,0.0096
-31.98,-71.0131,58.0916,-42.5109,51.92,0.0396
-31.8726,-70.9999,59.4104,-30.5763,51.92,0.0873
-31.7652,-70.9866,60.7368,-18.6418,51.92,0.0345
-31.6578,-70.9734,62.0659,-6.7075,51.92,0.0274
-31.5504,-70.9601,63.3977,5.2267,51.92,0.0679
-31.443,-70.9469,64.7324,17.1606,51.92,0.0645
-31.3356,-70.9336,66.0745,29.0945,51.92,0.0482
-31.2282,-70.9204,67.4098,41.0282,51.92,0.0807
-31.1208,-70.9071,68.7574,52.9617,51.92,0.0258
-31.0134,-70.8939,70.0934,64.8951,51.92,0.0919
-30.906,-70.8806,71.4512,76.8283,51.92,0.0185
